nama_kategori,nama_produk,tgl_transaksi,nama_cabang,nilai_jual,jumlah_unit
Buah,jeruk 1 kg,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,698900,58
Buah,apel 1 kg,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,1305722880,23552
Buah,alpukat 1 kg,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,531520,88
Buah,belimbing 1 kg,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,492280,124
Buah,durian 1 kg,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,2642600,146
Buah,kelapa muda,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,405900,82
Buah,mangga 1 kg,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,1293970,83
Buah,Manggis 1 kg,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,1758640,89
Buah,nenas 1 kg,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,658800,108
Buah,nangka 1 kg,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,275109120,9152
Buah,pepaya 1 buah,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,330000,66
Buah,pisang 1 sisir,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,906000,151
Buah,rambutan 1 kg,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,574740,103
Buah,salak 1 kg,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,1980720,131
Buah,semangka 1 buah,2008-01-01 00:00:00,PHI Mini Market - Surabaya 01,1499940,117
Sayur-Sayuran,Bawang Merah / Onion 1kg,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,1206630,109
Sayur-Sayuran,buncis 1 kg,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,1067600,170
Sayur-Sayuran,kacang panjang 1 kg,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,648620,82
Sayur-Sayuran,kacang hijau 1 kg,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,499100,70
Sayur-Sayuran,kentang 1 kg,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,23853440,3008
Sayur-Sayuran,ketimun 1 kg,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,210680,46
Sayur-Sayuran,kobis 1 kg,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,114480,108
Sayur-Sayuran,tomat 1 kg,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,278480,59
Sayur-Sayuran,ubi kayu basah 1 kg,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,162410,149
Sayur-Sayuran,ubi jalar 1 kg,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,162140,134
Sayur-Sayuran,wortel 1 kg,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,308850,87
Makanan & Minuman,susu kotak (800 ml),2008-01-02 00:00:00,PHI Mini Market - Makassar 01,1057050,87
Makanan & Minuman,telur ayam ras 1 kg,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,1435140,126
Makanan & Minuman,telur ayam kampung 1 kg,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,3095820,162
Makanan & Minuman,mie instant 1 kotak (40 bungkus),2008-01-02 00:00:00,PHI Mini Market - Makassar 01,8503380,87
Makanan & Minuman,air mineral 600 ml,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,71390,59
Makanan & Minuman,jus kesehatan 600 ml,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,726520,82
Makanan & Minuman,nasi goreng instant (1 ons),2008-01-02 00:00:00,PHI Mini Market - Makassar 01,470340,78
Makanan & Minuman,snack gurih 1 ons,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,589120,112
Makanan & Minuman,kacang goreng 1 kg,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,660800,56
Makanan & Minuman,kacang mete 1 kg,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,8288280,117
Makanan & Minuman,markisa 600 ml,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,1491580,107
Makanan & Minuman,bumbu fried chicken,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,3343320,222
Makanan & Minuman,susu kotak 1 l,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,1958180,197
Makanan & Minuman,minuman probiotik,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,44590,49
Buah,jeruk 1 kg,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,1679460,138
Buah,apel 1 kg,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,1312058880,23808
Buah,alpukat 1 kg,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,402000,67
Buah,belimbing 1 kg,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,420000,105
Buah,durian 1 kg,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,1811000,100
Buah,kelapa muda,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,430860,86
Buah,mangga 1 kg,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,2737640,178
Buah,Manggis 1 kg,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,2237760,111
Buah,nenas 1 kg,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,564510,93
Buah,nangka 1 kg,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,102167040,3392
Buah,pepaya 1 buah,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,410850,83
Buah,pisang 1 sisir,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,483200,80
Buah,rambutan 1 kg,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,374000,68
Buah,salak 1 kg,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,2751840,182
Buah,semangka 1 buah,2008-01-02 00:00:00,PHI Mini Market - Makassar 01,2572800,201
Sayur-Sayuran,Bawang Merah / Onion 1kg,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,1069440,96
Sayur-Sayuran,buncis 1 kg,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,914340,147
Sayur-Sayuran,kacang panjang 1 kg,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,1006250,125
Sayur-Sayuran,kacang hijau 1 kg,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,840140,119
Sayur-Sayuran,kentang 1 kg,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,40235520,4992
Sayur-Sayuran,ketimun 1 kg,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,565800,123
Sayur-Sayuran,kobis 1 kg,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,204580,193
Sayur-Sayuran,tomat 1 kg,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,336960,72
Sayur-Sayuran,ubi kayu basah 1 kg,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,48400,44
Sayur-Sayuran,ubi jalar 1 kg,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,174240,144
Sayur-Sayuran,wortel 1 kg,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,304440,86
Makanan & Minuman,susu kotak (800 ml),2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,1016400,84
Makanan & Minuman,telur ayam ras 1 kg,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,1387560,124
Makanan & Minuman,telur ayam kampung 1 kg,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,1028160,54
Makanan & Minuman,mie instant 1 kotak (40 bungkus),2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,13089600,135
Makanan & Minuman,air mineral 600 ml,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,162000,135
Makanan & Minuman,jus kesehatan 600 ml,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,544730,61
Makanan & Minuman,nasi goreng instant (1 ons),2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,841800,138
Makanan & Minuman,snack gurih 1 ons,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,362250,69
Makanan & Minuman,kacang goreng 1 kg,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,1001280,84
Makanan & Minuman,kacang mete 1 kg,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,10817100,153
Makanan & Minuman,markisa 600 ml,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,1175550,85
Makanan & Minuman,bumbu fried chicken,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,1972860,131
Makanan & Minuman,susu kotak 1 l,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,994000,100
Makanan & Minuman,minuman probiotik,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,68250,75
Buah,jeruk 1 kg,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,1032750,85
Buah,apel 1 kg,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,503838720,9216
Buah,alpukat 1 kg,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,531570,87
Buah,belimbing 1 kg,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,386880,96
Buah,durian 1 kg,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,1611790,89
Buah,kelapa muda,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,563880,111
Buah,mangga 1 kg,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,1937500,125
Buah,Manggis 1 kg,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,1046240,52
Buah,nenas 1 kg,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,668800,110
Buah,nangka 1 kg,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,182764800,6080
Buah,pepaya 1 buah,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,249500,50
Buah,pisang 1 sisir,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,1036270,173
Buah,rambutan 1 kg,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,639990,117
Buah,salak 1 kg,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,1636800,110
Buah,semangka 1 buah,2008-01-02 00:00:00,PHI Mini Market - Jakarta Pusat 01,1246080,96
Sayur-Sayuran,Bawang Merah / Onion 1kg,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,1688180,151
Sayur-Sayuran,buncis 1 kg,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,510040,82
Sayur-Sayuran,kacang panjang 1 kg,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,755250,95
Sayur-Sayuran,kacang hijau 1 kg,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,546700,77
Sayur-Sayuran,kentang 1 kg,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,25213440,3136
Sayur-Sayuran,ketimun 1 kg,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,410400,90
Sayur-Sayuran,kobis 1 kg,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,58300,55
Sayur-Sayuran,tomat 1 kg,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,205110,43
Sayur-Sayuran,ubi kayu basah 1 kg,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,76300,70
Sayur-Sayuran,ubi jalar 1 kg,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,217800,180
Sayur-Sayuran,wortel 1 kg,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,290500,83
Makanan & Minuman,susu kotak (800 ml),2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,1999800,165
Makanan & Minuman,telur ayam ras 1 kg,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,1193560,106
Makanan & Minuman,telur ayam kampung 1 kg,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,955500,50
Makanan & Minuman,mie instant 1 kotak (40 bungkus),2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,14138460,147
Makanan & Minuman,air mineral 600 ml,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,90750,75
Makanan & Minuman,jus kesehatan 600 ml,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,275280,31
Makanan & Minuman,nasi goreng instant (1 ons),2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,574750,95
Makanan & Minuman,snack gurih 1 ons,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,733600,140
Makanan & Minuman,kacang goreng 1 kg,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,1740320,146
Makanan & Minuman,kacang mete 1 kg,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,5320000,76
Makanan & Minuman,markisa 600 ml,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,2212000,158
Makanan & Minuman,bumbu fried chicken,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,1324320,89
Makanan & Minuman,susu kotak 1 l,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,1010000,101
Makanan & Minuman,minuman probiotik,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,56070,63
Buah,jeruk 1 kg,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,1752000,146
Buah,apel 1 kg,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,410769920,7424
Buah,alpukat 1 kg,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,841400,140
Buah,belimbing 1 kg,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,427180,106
Buah,durian 1 kg,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,1395420,78
Buah,kelapa muda,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,190760,38
Buah,mangga 1 kg,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,2256450,147
Buah,Manggis 1 kg,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,2177280,108
Buah,nenas 1 kg,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,851200,140
Buah,nangka 1 kg,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,167101440,5504
Buah,pepaya 1 buah,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,610000,122
Buah,pisang 1 sisir,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,1242180,206
Buah,rambutan 1 kg,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,269990,49
Buah,salak 1 kg,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,1893780,126
Buah,semangka 1 buah,2008-01-02 00:00:00,PHI Mini Market - Surabaya 01,2269140,177
Sayur-Sayuran,Bawang Merah / Onion 1kg,2008-01-03 00:00:00,PHI Mini Market - Makassar 01,2090660,187
Sayur-Sayuran,buncis 1 kg,2008-01-03 00:00:00,PHI Mini Market - Makassar 01,900820,146
Sayur-Sayuran,kacang panjang 1 kg,2008-01-03 00:00:00,PHI Mini Market - Makassar 01,946360,118
Sayur-Sayuran,kacang hijau 1 kg,2008-01-03 00:00:00,PHI Mini Market - Makassar 01,506940,71
Sayur-Sayuran,kentang 1 kg,2008-01-03 00:00:00,PHI Mini Market - Makassar 01,68688000,8640
Sayur-Sayuran,ketimun 1 kg,2008-01-03 00:00:00,PHI Mini Market - Makassar 01,221760,48
Sayur-Sayuran,kobis 1 kg,2008-01-03 00:00:00,PHI Mini Market - Makassar 01,86670,81
Sayur-Sayuran,tomat 1 kg,2008-01-03 00:00:00,PHI Mini Market - Makassar 01,580560,123
Sayur-Sayuran,ubi kayu basah 1 kg,2008-01-03 00:00:00,PHI Mini Market - Makassar 01,53760,48
Sayur-Sayuran,ubi jalar 1 kg,2008-01-03 00:00:00,PHI Mini Market - Makassar 01,71400,60
Sayur-Sayuran,wortel 1 kg,2008-01-03 00:00:00,PHI Mini Market - Makassar 01,276500,79
Makanan & Minuman,susu kotak (800 ml),2008-01-03 00:00:00,PHI Mini Market - Makassar 01,1089000,90
